brand,asin,product_title,price,product_rating,review_rating,review_title,review_body,url,review_length
Safari,B097BG27MD,"Pentagon Pro 8 Wheels 55Cm Cabin Trolley Bag Hard Case Polypropylene, 360º Wheeling Carry On Luggage for Men & Women, Travel Suitcase, Cyan",1869.0,4.2,5.0,,"Nice product... Better quality
Flexibile Pricing..
",https://www.amazon.in/dp/B097BG27MD,51
Safari,B097BG27MD,"Pentagon Pro 8 Wheels 55Cm Cabin Trolley Bag Hard Case Polypropylene, 360º Wheeling Carry On Luggage for Men & Women, Travel Suitcase, Cyan",1869.0,4.2,4.0,,"The bag quality is really good and feels sturdy. The outer shell is strong, the design looks premium, and the wheels move smoothly overall. Size and storage are perfect for travel, and the finish is neat and classy.

The only reason for giving 4 stars instead of 5 is that there are minor scratches on the wheels, likely due to handling or drop point during delivery. It doesn’t affect functionality at all, but worth mentioning.

Overall, a great product at this price, durable and worth buying. Highly recommended for frequent travellers.
",https://www.amazon.in/dp/B097BG27MD,541
Safari,B097BG27MD,"Pentagon Pro 8 Wheels 55Cm Cabin Trolley Bag Hard Case Polypropylene, 360º Wheeling Carry On Luggage for Men & Women, Travel Suitcase, Cyan",1869.0,4.2,5.0,,"It is the best safari suitcase that I have received. I would recommend you to buy this . You can buy this if you are travelling for 14-15 days ( M). It's sturdiness , durability , space ,weight are all best.
",https://www.amazon.in/dp/B097BG27MD,208
Safari,B097BG27MD,"Pentagon Pro 8 Wheels 55Cm Cabin Trolley Bag Hard Case Polypropylene, 360º Wheeling Carry On Luggage for Men & Women, Travel Suitcase, Cyan",1869.0,4.2,5.0,,"Good product
",https://www.amazon.in/dp/B097BG27MD,13
Safari,B097BG27MD,"Pentagon Pro 8 Wheels 55Cm Cabin Trolley Bag Hard Case Polypropylene, 360º Wheeling Carry On Luggage for Men & Women, Travel Suitcase, Cyan",1869.0,4.2,4.0,,"I have been using this trolley bag for a few weeks, and I’m really impressed with its quality. The material feels strong and non-breakable, making it perfect for regular travel without worrying about wear and tear.

The design is sleek and modern, and the bag is very practical with well-thought-out compartments. It not only looks good but also feels comfortable to carry around.

After using it for some time, I can confidently say this trolley bag is durable, stylish, and a reliable choice for frequent travelers.
",https://www.amazon.in/dp/B097BG27MD,518
Safari,B097BG27MD,"Pentagon Pro 8 Wheels 55Cm Cabin Trolley Bag Hard Case Polypropylene, 360º Wheeling Carry On Luggage for Men & Women, Travel Suitcase, Cyan",1869.0,4.2,5.0,,"Comparing this with other company (sky bag/ American tourister) based on the quality and price we any how preferred it better .
Yes some other company brands with little lesser price could be also option . For now this is better.
",https://www.amazon.in/dp/B097BG27MD,230
Safari,B097BG27MD,"Pentagon Pro 8 Wheels 55Cm Cabin Trolley Bag Hard Case Polypropylene, 360º Wheeling Carry On Luggage for Men & Women, Travel Suitcase, Cyan",1869.0,4.2,3.0,,"Light quality
",https://www.amazon.in/dp/B097BG27MD,14
Safari,B097BG27MD,"Pentagon Pro 8 Wheels 55Cm Cabin Trolley Bag Hard Case Polypropylene, 360º Wheeling Carry On Luggage for Men & Women, Travel Suitcase, Cyan",1869.0,4.2,4.0,,"So far it was good. But on my recent trip to tirupati the lock didn't open i had to try some youtube hack and open it.
",https://www.amazon.in/dp/B097BG27MD,119
Safari,B097BG27MD,"Pentagon Pro 8 Wheels 55Cm Cabin Trolley Bag Hard Case Polypropylene, 360º Wheeling Carry On Luggage for Men & Women, Travel Suitcase, Cyan",1869.0,4.2,4.0,,"Need to see its performance and quality .Overall for the first look its a nice boxy product.
",https://www.amazon.in/dp/B097BG27MD,93
Safari,B097BG27MD,"Pentagon Pro 8 Wheels 55Cm Cabin Trolley Bag Hard Case Polypropylene, 360º Wheeling Carry On Luggage for Men & Women, Travel Suitcase, Cyan",1869.0,4.2,4.0,,"Good
",https://www.amazon.in/dp/B097BG27MD,5
